"sample_name","full_path","organization_code","legacy_batch_code","visibility"
"F1S1R2D2B4P4H02","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H02","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D02","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D02","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E01","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E01","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H11","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H11","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G11","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G11","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4A08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4A08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4A10","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4A10","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4A02","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4A02","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F12","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F12","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D01","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D01","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H04","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B11","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B11","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B12","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B12","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F03","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F03","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C06","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C06","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E11","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E11","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C01","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C01","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C04","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D06","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D06","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B06","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B06","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G10","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G10","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B03","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B03","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G01","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G01","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B05","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B05","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F07","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F07","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H06","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H06","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G04","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D12","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D12","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D11","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D11","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E02","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E02","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D08","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D08","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H10","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H10","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B01","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B01","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G06","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G06","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C05","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C05","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F06","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F06","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D04","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H05","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H05","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H07","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H07","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B07","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B07","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C02","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C02","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4A03","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4A03","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H03","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H03","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E10","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E10","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B04","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4B09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4B09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4G07","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4G07","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F02","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F02","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E04","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4H12","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4H12","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4E12","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4E12","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C09","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C09","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4C03","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4C03","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4D10","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4D10","mhh","F1S1R2D2B4P4","private"
"F1S1R2D2B4P4F04","/data/datasets/dna_seq/DNA_Seq_v2/mhh/F1S1R2D2B4P4/F1S1R2D2B4P4F04","mhh","F1S1R2D2B4P4","private"
